Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
"Senior Full-Stack Developer (Java EE, Angular)",Java,remote,senior,Astec,Katowice,17500-23500,23520-31920,"""Java EE"" ""Java 11"" ""Angular 16"" ""Hibernate""","""PostgreSQL"" ""Oracle"" ""Docker"" ""Quarkus 3"" ""OpenShift"" ""Elasticsearch""",/offers/astec-senior-full-stack-developer-java-ee-angular-katowice
Senior Back-End Java Developer,Java,hybrid,senior,DSV ISS,Warszawa,None-None,,"""Java"" ""Kafka"" ""MongoDB"" ""PostreSQL"" ""OIDC"" ""Docker"" ""Kubernetes"" ""ELK Stack"" ""CI/CD"" ""Azure DevOps""",,/offers/dsv-iss-senior-back-end-java-developer-warszawa
(Senior) Android Developer with Polish,Mobile,remote,senior,Netguru,Poznań,14000-22000,16800-26900,"""Java/Kotlin"" ""Android SDK"" ""Mobile Apps""",,/offers/netguru-senior-android-developer-with-polish-poznan
SAP FI/CO Functional Consultant with S/4 HANA,ERP,remote,mid,emagine Polska,Wrocław,,None-None,"""English"" ""SAP FI/CO"" ""SAP HANA"" ""Cloud""",,/offers/emagine-polska-sap-fi-co-functional-consultant-with-s-4-hana-wroclaw
.Net Developer,Net,remote,mid,InsERT,Wrocław,11000-16000,13000-18000,""".NET C#"" ""Entity Framework"" ""Git""","""Azure""",/offers/insert-net-developer
Citrix Virtual Desktop Architect,Architecture,remote,mid,Fujitsu Technology Solutions Sp. z o.o.,Łódź,,None-None,"""Citrix solutions"" ""NetScaler"" ""WIN10"" ""cloud infrastructures AWS"" ""MS Azure"" ""IT technologies""",,/offers/fujitsu-technology-citrix-virtual-desktop-architect-lodz
Specjalista ds. Aplikacji Korporacyjnych,ERP,hybrid,mid,ORLEN S.A.,Warszawa,None-None,,"""Microsoft SQL"" ""VBA""","""Java"" ""C#"" ""C++"" ""SAP"" ""IBM FileNET P8""",/offers/orlen-s-a-specjalista-ds-aplikacji-korporacyjnych
Senior Java Developer,Java,remote,senior,Luxoft Poland,Kraków,None-None,,"""NoSQL"" ""JVM Java 11+"" ""MongoDB"" ""CosmosDB"" ""Uncle Bob"" ""OAuth2""",,/offers/luxoft-poland-senior-java-developer-krakow-327266
Storage & Backup Administrator,Admin,remote,senior,HRO Digital,Kraków,None-None,None-None,"""NetApp"" ""Cohesity"" ""Commvault"" ""Dell EMC Storage"" ""Cloud""",,/offers/hro-digital-storage-backup-administrator-krakow
EDI Developer,C,hybrid,senior,DSV ISS,Warszawa,None-None,,"""EDI"" ""Java"" ""C++"" ""C#"" ""SQL"" ""XML"" ""JSON"" ""XPath"" ""CSV""",,/offers/dsv-iss-edi-developer-warszawa-326183
IT Cyber Security Specialist,Security,hybrid,mid,Selvita,Kraków,None-None,None-None,"""Cybersecurity"" ""IT Security"" ""SIEM"" ""English""",,/offers/selvita-it-cyber-security-specialist
Security SIEM Expert with German,Security,remote,senior,Experis Manpower Group,Wrocław,,36960-42000,"""SIEM"" ""QRadar"" ""Splunk"" ""IDS/IPS"" ""SoC""",,/offers/experis-manpower-group-security-siem-expert-with-german-wroclaw
Microsoft Power Platform Engineer,Data,remote,mid,C&F,Warszawa,None-None,None-None,"""English"" ""REST API"" ""Power BI"" ""Power Apps"" ""RDBMS"" ""SQL"" ""Power Automate"" ""HTML"" ""CSS""",,/offers/c-f-s-a-microsoft-power-platform-engineer
Linux Admin,DevOps,hybrid,senior,Alter Solutions Polska,Kraków,,17000-22000,"""Linux"" ""Scripting"" ""Ansible"" ""Bash"" ""VMware"" ""Apache""","""JBoss"" ""PostgreSQL"" ""MySQL"" ""Redhat Openshift""",/offers/alter-solutions-polska-linux-admin-krakow
Manual Tester,Testing,office,mid,Medpace,Warszawa,10000-19000,,"""Testing"" ""Manual Testing"" ""SQL""","""JavaScript"" ""Cypress"" ""Azure"" "".NET C#"" ""Angular"" ""Test Automation""",/offers/medpace-manual-tester
AEM Developer,HTML,hybrid,mid,"DTP, Digital Technology Poland",Zielona Góra,None-None,,"""AEM"" ""JavaScript"" ""REST""","""Git"" ""Adobe Captivate"" ""Adobe Learning Manager"" ""Java"" ""TypeScript""",/offers/dtp-aem-developer-zielona-gora-303636
MS Dynamics AX Developer,Net,hybrid,mid,NRF Poland Sp. z o.o.,Gdańsk,None-None,,"""Software Development"" ""English"" ""Microsoft Dynamics AX X++"" "".Net"" ""T-SQL"" ""REST API"" ""SOAP""","""MS SQL Server""",/offers/nrf-poland-sp-z-o-o-ms-dynamics-ax-developer-gdansk-324667
Senior Linux Engineer (RHEL IdM/IPA),Admin,hybrid,senior,ERGO Technology & Services,Gdańsk,None-None,,"""Linux"" ""English"" ""IDM"" ""IPA""","""Python"" ""Jenkins"" ""German""",/offers/ergo-technology-services-senior-linux-engineer-rhel-idm-ipa
DevOps Engineer with AWS,DevOps,remote,senior,Objectivity,Wroclaw,15000-20300,23520-30240,"""AWS"" ""Terraform"" ""CI/CD"" ""Git"" ""English""","""Docker"" ""Kubernetes""",/offers/objectivity-devops-engineer-with-aws
