Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Product Designer (UX/UI),UX/UI,remote,mid,25wat,Wrocław,,9000-16000,"""UX"" ""Design"" ""Figma"" ""UI"" ""Angielski""",,/offers/25wat-product-designer-ux-ui
Support Business Analyst,Analytics,remote,mid,7N,Wrocław,,20160-21840,"""JIRA"" ""Confluence"" ""COTS Solutions""",,/offers/7n-support-business-analyst-wroclaw
Senior DevOps (Infrastructure) Engineer,DevOps,hybrid,senior,VOLT,Gdańsk,21900-25800,25500-30000,"""CI/CD"" ""DevOps"" ""Linux"" ""SQL"" ""Kubernetes"" ""AWS"" ""Docker""",,/offers/volt-senior-devops-infrastructure-engineer-gdansk
Unreal Engine Game Developer,Game,remote,mid,HiveFive Interactive,Budapest,,,"""Communication Skills"" ""English"" ""C++"" ""Unreal Engine""",,/offers/hivefive-interactive-unreal-engine-game-developer
PHP Developer,PHP,hybrid,mid,Nectar,Szczecin,7000-12000,7000-12000,"""MySQL"" ""REST API"" ""PHP""","""Scrum"" ""JIRA"" ""Docker"" ""GitHub"" ""PHPStorm"" ""HTML"" ""CSS""",/offers/nectar-sp-z-o-o-php-developer-szczecin
Technical Leader C#/.NET,Net,hybrid,senior,OVHcloud,Kąty Wrocławskie,None-None,,""".NET Core"" ""Powershell"" ""SQL"" ""Docker"" ""Active Directory""",,/offers/ovhcloud-technical-leader-c-net-katy-wroclawskie
System Architect,Java,hybrid,senior,Primaris,Warszawa,,None-None,"""Java"" ""Spring"" ""Hibernate"" ""SOAP"" ""REST"" ""Git"" ""JUnit""","""Angular 2+""",/offers/primaris-system-architect-warszawa-323914
IT HelpDesk Specialist,Support,office,junior,Nexio Management,Warszawa,None-None,None-None,,"""Helpdesk"" ""IT Support"" ""Microsoft Windows"" ""Mac OS"" ""iOS""",/offers/nexio-management-it-helpdesk-specialist
Web Analyst,Analytics,hybrid,mid,Sales&More,Warszawa,6000-10000,,"""Google Analytics"" ""BigQuery"" ""Google Tag Manager"" ""Adobe Analytics""",,/offers/sales-more-web-analyst-warszawa
Senior Frontend Developer,JS,remote,senior,RMEdison Sp. z o.o.,Warszawa,,20160-26880,"""HTML5 / CSS3"" ""Front-End"" ""JavaScript"" ""TypeScript"" ""Angular"" ""Bootstrap"" ""REST"" ""Node.js""",,/offers/rmedison-sp-z-o-o-senior-frontend-developer
Database Specialist,Data,hybrid,mid,Commerzbank,Łódź,None-None,,"""Oracle"" ""REST API"" ""Linux / Unix"" ""JIRA""",,/offers/commerzbank-database-specialist
Data & AI Analyst,Analytics,hybrid,junior,Accenture Sp. z o. o.,Kraków,None-None,,,"""SQL"" ""SAP"" ""Salesforce"" ""Workday"" ""ServiceNow"" ""ETL"" ""Azure"" ""AWS"" ""GCP""",/offers/accenture-sp-z-o-o-data-ai-analyst-krakow
Frontend Developer,JS,remote,mid,Lodgify,Barcelona,,None-None,"""React"" ""TypeScript"" ""JavaScript"" ""CSS3""",,/offers/lodgify-frontend-developer-barcelona
Senior Software Engineer/Tech Lead,Java,remote,senior,Hays Poland,Wrocław,20000-35000,,"""Java"" ""Microservices"" ""Apache Kafka"" ""SQL"" ""NoSQL"" ""Spring Boot"" ""Jenkins"" ""English""","""Angular""",/offers/hays-poland-senior-software-engineer-tech-lead
Horizontal IT Audit President,Testing,hybrid,c_level,State Street,Kraków,None-None,,"""management skills"" ""English"" ""Excellent analytical""","""data analytics"" ""Data Visualization"" ""IT General Controls""",/offers/state-street-horizontal-it-audit-vice-president-hybrid
Administrator IT - Specjalista ds. Sieci Informatycznych,Admin,office,mid,Teleaudyt sp. z o. o.,Kraków,7000-8000,,"""VPN"" ""DNS"" ""English""","""Linux"" ""Zabbix""",/offers/teleaudyt-sp-z-o-o-administrator-it-specjalista-ds-sieci-informatycznych
SQL Server Database Administrator,Data,remote,mid,DXC Technology,Wrocław,None-None,,"""Database administration"" ""SQL Server"" ""Databases""","""Azure""",/offers/dxc-technology-sql-server-database-administrator-wroclaw
IT Support Specialist,Support,remote,senior,CPL Jobs,Wrocław,,8000-14000,"""Windows"" ""Linux"" ""ITIL"" ""Troubleshooting""",,/offers/51-100-it-support-specialist-wroclaw
Service Delivery Manager Principal – SaaS in Financial Services,PM,hybrid,senior,SimCorp,Warszawa,None-None,,"""ITIL"" ""IT services"" ""Service Delivery"" ""SLA"" ""Client-facing role"" ""FinTech"" ""Financial Services""",,/offers/simcorp-service-delivery-manager-principal-saas-in-financial-services
Project Manager,PM,remote,mid,Transition Technologies PSC,Warszawa,None-None,None-None,"""Agile"" ""Scrum""",,/offers/transition-technologies-psc-project-manager-warszawa
Specjalista ds. aplikacji IT,Support,office,mid,Auchan Polska,Warszawa,None-None,,"""O2C"" ""procesy sprzedażowe"" ""Angielski"" ""SQL"" ""ITIL"" ""UML""",,/offers/auchan-polska-specjalista-ds-aplikacji-it-warszawa-326720
Senior Node.js Developer / Backend,JS,remote,senior,UN7,Kraków,,22000-33000,"""Node.js"" ""TypeScript"" ""JavaScript"" ""Docker""",,/offers/un7-senior-node-js-developer-backend-krakow-308108
Administrator Systemów Komputerowych,Admin,office,mid,Rekord Hale Namiotowe,Jelcz-Laskowice,None-None,,"""ERP"" ""MRP"" ""EMM"" ""M365"" ""monitoring"" ""Angielski"" ""Cisco"" ""IT Admin""",,/offers/rekord-hale-namiotowe-administrator-systemow-komputerowych
Product Owner Marketing Platform,PM,office,mid,PAYBACK,Warszawa,None-None,,"""English"" ""Agile"" ""technical data modeling""","""CRM"" ""Greman""",/offers/payback-product-owner-marketing-platform
Application Support Engineer,Java,remote,mid,DXC Technology,Warszawa,None-None,,"""Bash"" ""Python"" ""JBoss"" ""Java"" ""AWS/Oracle"" ""ELK/Elastic Stack""","""AWS Connect"" ""Dynatrace""",/offers/dxc-technology-application-support-engineer-warszawa-325114
Sales Support,Support,hybrid,junior,TestArmy group S.A.,Wrocław,,,"""English"" ""MS Office"" ""MS Excel""","""Sales""",/offers/testarmy-group-s-a-sales-support
Junior Support Engineer,Support,office,junior,mITp,Warszawa,5000-7000,5000-8000,"""SQL"" ""Analytical Thinking""","""Oracle SQL""",/offers/mitp-junior-support-engineer-warszawa
